date,MRNA,OCGN,TNXP,BNTX,ARCT,BCYC,VTVT,OGEN,PFE,TBIO,BIO,IBIO,ACRX,SNY,TXG,REGN,PTCT,NVAX,TRVN,WST,ATRS,ONCT,NVLN,ARQL,OHGI,AMPE,SAVA,CRMD,HSTO,LTHM,ASND,VIVE,EVOK,SLS,ADXS,GHSI,AVGR,SINT,TSLA,LEU,NXE,QMCO,VMW,EBAY,BYND,CCJ,ZBRA,TDY,DELL,FB,MSFT,AMZN,AMD,GOOG,URG,TEAM,FSLY,EB,SPOT,MELI,CE,AAPL,TTD,DNN,PINS,UUUU,WORK,FIVE,NVTA,CLDR,NFLX,NIO,SHOP,MDB,DOCU,ZM,URNM,LIT,QMOM,VEA,ARKF,VTI,XSW,IGM,XLK
2020-11-17,93.15,0.2905,0.5896,86.93,53.11,20.98,1.8,0.487,35.6522593103,17.41,592.57,1.71,1.48,50.27,135.67,538.15,62.81,92.89,2.53,286.627642612,2.95,4.14,,,0.02232,0.825,7.95,6.02,1.54,15.26,159.7,5.0,3.41,2.72,0.3933,1.128,0.2764,1.62,441.61,10.05,1.72,5.5,146.09,48.0239341139,129.9,9.58229810617,340.79,394.17,67.86,275.0,213.403161653,3135.66,83.36,1770.15,0.46,196.52,78.33,15.73,250.44,1300.81,131.72120869,119.211305078,795.06,0.34,63.35,1.77,26.74,152.62,46.1,11.12,480.63,46.59,914.02,248.34,211.91,401.63,27.9169519325,50.199200678,44.7738,44.4417717642,43.7260694121,184.392370319,131.955247967,327.303068094,121.407863217
2020-11-16,97.95,0.2835,0.605,91.52,50.71,20.37,1.88,0.4648,35.0364143166,16.6,597.21,2.05,1.51,50.67,135.25,559.29,61.2,90.65,2.59,291.844687469,2.95,4.57,,,0.024,0.8,8.13,5.79,1.53,15.25,164.39,4.959,3.52,2.64,0.3951,1.1478,0.2685,1.64,408.09,9.8,1.76,5.4,144.6,48.2425408903,127.15,9.51271710333,345.98,390.88,67.35,278.96,216.159511358,3131.06,83.73,1781.38,0.4773,189.46,75.69,15.0,245.85,1286.31,132.119127907,120.119943051,746.13,0.3521,62.62,1.82,26.07,151.38,46.4,10.94,479.1,45.58,919.22,242.94,208.13,399.15,28.0291660896,50.5586936607,44.1393,44.4615941424,43.7360320617,184.810674281,130.655688707,327.922752041,122.086286645
2020-11-13,89.39,0.2882,0.6179,106.0,47.47,20.32,1.76,0.474,36.2471556632,16.03,602.36,1.78,1.55,51.01,138.55,566.43,60.1,96.6,2.7,290.805276233,2.85,4.54,,,0.02,0.815,8.37,5.69,1.4816,14.29,165.68,4.95,3.71,2.63,0.4,1.149,0.2675,1.76,408.5,10.04,1.83,5.2,141.86,48.3617809502,124.74,9.58229810617,345.86,379.31,66.11,276.95,215.443059449,3128.81,81.43,1777.02,0.48,192.82,77.71,14.04,253.5,1301.66,127.742016524,119.081499653,734.77,0.3528,62.32,1.73,25.75,146.04,47.02,10.67,482.84,44.56,918.3,246.86,205.7,403.58,28.1169095661,49.829721779,43.87,43.8966563657,43.6164802657,182.579719817,129.386119275,325.424026447,120.918999276
2020-11-12,87.81,0.2912,0.5747,101.63,48.12,20.78,1.71,0.48,35.2428973369,16.14,602.25,1.72,1.54,51.04,139.97,556.78,59.49,90.87,2.7,289.426057478,2.86,4.66,,,0.0161,0.8,11.18,5.72,1.47,13.18,166.64,4.838,3.55,2.59,0.3943,1.1328,0.2595,1.68,411.76,10.05,1.78,5.24,138.46,46.2949532457,128.9,9.56241781964,340.78,366.79,64.42,275.08,214.378332307,3110.28,81.84,1749.84,0.4729,193.0,76.24,12.6,258.69,1296.0,123.772772338,119.03157449,740.0,0.3521,60.26,1.74,25.89,142.83,47.14,10.5,486.77,48.3,925.8,251.02,212.62,428.64,28.0584139151,48.6813414174,43.5347,43.2821626437,43.0784971834,180.030057572,127.846641383,322.335601613,119.901364133
2020-11-11,82.44,0.2975,0.562,109.45,48.84,18.83,1.72,0.4912,36.1345285611,16.21,585.45,1.75,1.45,51.62,136.62,567.73,60.0,85.01,2.71,284.908616338,2.935,5.34,,,0.0275,0.7949,10.86,5.73,1.68,13.1,160.0,4.872,3.46,2.6,0.4049,1.2144,0.263,1.68,417.13,9.84,1.92,5.15,140.56,47.4078604712,127.89,10.0693651261,356.27,367.25,64.88,276.48,215.482862333,3137.39,81.28,1752.71,0.485,191.76,72.01,12.9,261.04,1304.49,127.533108935,119.311155405,742.04,0.3701,59.55,1.84,25.17,144.6,46.59,10.34,490.76,43.08,947.18,245.09,208.55,413.34,28.5291089199,48.6513836688,43.82,43.9164787438,43.1581983807,181.822788838,128.856298962,325.344067228,120.978860166
2020-11-10,76.05,0.308,0.552,112.76,39.38,19.36,1.72,0.4501,36.3034692142,15.75,555.78,1.75,1.44,50.17,129.0,559.22,59.25,78.74,2.55,279.261814912,2.98,5.55,,,0.0189,0.786,9.98,5.58,1.75,13.05,161.58,4.889,3.27,2.64,0.395,1.134,0.2723,1.66,410.36,9.44,1.86,4.98,139.95,46.2452698874,125.01,9.58229810617,345.02,369.72,64.61,272.43,209.970162923,3035.02,77.99,1740.39,0.4544,185.66,71.61,12.72,249.99,1226.03,127.214773562,115.796423904,707.28,0.3725,55.67,1.73,24.1,143.77,43.05,10.05,480.24,41.55,885.76,230.06,198.31,376.01,27.7854342106,49.300468221,41.8949,43.5497647485,41.7235768279,180.358724971,127.316821069,318.127747713,118.175375117
2020-11-09,77.74,0.2905,0.5301,104.8,34.61,18.47,1.72,0.4697,36.7915199895,14.54,579.96,1.63,1.42,49.63,134.16,567.55,59.21,90.31,2.42,286.377784142,2.9,5.1,,,0.0176,0.807,10.16,5.47,1.76,13.59,168.37,4.889,3.41,2.64,0.362,1.0284,0.2586,1.62,421.26,9.14,1.71,4.95,140.86,48.0139974422,150.5,9.46301638701,352.71,364.12,64.24,278.77,217.313794989,3143.74,83.12,1763.0,0.45,187.52,69.79,13.38,274.2,1330.72,125.593252754,116.145900047,761.37,0.3459,57.75,1.62,25.79,146.3,44.23,10.09,470.5,44.02,902.6,239.89,197.6,413.24,27.3759646538,50.4887922474,43.04,43.2326066984,43.5068911193,180.657513515,129.386619106,324.504495429,120.42015852
2020-11-06,72.45,0.28,0.5623,92.0,63.36,18.49,1.67,0.4978,34.163554276,14.27,643.45,1.73,1.45,49.25,147.7,578.03,59.38,89.86,2.39,295.457251401,2.85,3.92,,,0.018,0.8501,10.7,5.23,1.681,13.65,168.98,4.9,3.69,2.67,0.37,1.0014,0.247,1.75,429.95,9.7,1.71,4.65,140.29,50.3689886247,156.86,9.26421352173,346.43,336.83,64.59,293.41,222.617529259,3311.37,85.88,1761.75,0.44,198.18,73.43,10.12,276.1,1485.86,119.067377601,118.512352791,819.34,0.3451,64.74,1.62,27.05,140.52,44.76,10.41,514.73,41.63,1045.0,252.4,231.69,500.11,27.2492240767,49.1107358135,45.8343,42.0829087669,45.429682506,178.53611485,129.186187082,330.161610173,121.29811825
2020-11-05,71.48,0.2869,0.5683,92.0,61.26,19.0,1.7,0.4945,34.1541686842,13.92,630.57,1.72,1.87,50.33,148.59,588.81,59.32,93.11,2.37,294.678155201,3.05,3.36,,,0.0175,0.88,10.51,5.38,1.71,11.85,172.4,4.975,3.62,2.68,0.3601,1.023,0.2406,1.81,438.09,9.66,1.76,4.78,140.74,49.0970946527,157.04,9.19463251889,340.12,336.21,64.51,294.68,222.189648258,3322.0,83.0,1763.37,0.439,199.99,74.11,10.36,256.38,1437.8,119.04748164,118.646918312,647.3,0.3475,63.47,1.62,27.45,141.83,45.69,10.48,513.76,42.35,1036.5,253.15,236.77,496.73,26.9529436045,49.2605245563,45.3735,41.9937080654,44.5230813858,178.625751413,129.049833325,329.162119936,120.8691152
2020-11-04,69.81,0.2838,0.5778,90.69,59.21,18.77,1.72,0.4856,34.6743300783,14.31,624.79,1.7,1.83,50.59,141.8,587.14,60.5,87.27,2.4,289.454215292,3.01,1.51,,,0.0175,0.84,11.54,5.28,1.78,11.16,174.79,4.8,3.67,2.49,0.355,1.0254,0.234,1.69,420.98,9.43,1.68,4.61,133.74,47.5171638594,149.29,9.01570994014,329.18,331.82,62.23,287.38,215.323650798,3241.16,81.35,1749.13,0.423,188.82,71.03,9.5,239.28,1315.69,114.570890453,114.580049231,632.42,0.3358,61.45,1.49,26.13,141.59,43.21,10.22,496.95,37.71,996.0,244.67,235.01,483.7,26.3717893121,45.7554679742,43.74,41.0025891589,43.5268164186,175.010410027,126.232188917,320.156712895,117.227577681
2020-11-03,69.08,0.2874,0.5824,87.22,55.94,18.82,1.78,0.49,33.6154300974,13.44,601.57,1.71,1.82,47.55,137.32,557.19,56.87,83.64,2.45,276.709000526,2.97,1.54,,,0.0183,0.8346,9.19,5.41,1.84,11.58,166.45,4.85,3.46,2.5,0.363,1.044,0.23,1.66,423.9,9.73,1.69,4.64,131.93,48.6101977416,146.35,9.66181925228,319.22,326.98,61.75,265.3,205.412732724,3048.41,76.58,1650.21,0.4371,182.06,68.93,9.63,236.53,1233.97,118.002943696,110.084564046,586.08,0.34,59.58,1.51,25.38,136.61,41.2,10.07,487.22,35.5,941.72,226.97,208.43,451.51,26.5470812795,45.1862707515,41.8758,40.5863192182,41.3051455417,171.275553223,121.938645053,306.293783301,112.837779027
2020-11-02,67.11,0.2752,0.58,87.1,55.27,18.3,1.73,0.4932,33.6525844827,13.08,591.02,1.65,1.83,46.41,136.05,548.58,55.02,82.4,2.69,271.085524105,2.8,1.58,,,0.0183,0.7452,8.93,5.0,1.68,11.32,162.49,4.675,3.8,2.45,0.3408,1.0614,0.2249,1.59,400.51,9.7,1.68,4.48,127.0,47.5668472177,143.56,9.4928368168,293.07,313.38,60.29,261.36,201.332937132,3004.48,74.7,1626.03,0.43625,184.29,65.11,9.42,231.6,1215.86,116.88876989,108.419938711,559.16,0.339,58.38,1.45,25.05,131.85,39.09,9.81,484.12,33.32,914.99,224.18,201.56,453.0,26.3393242258,44.5671439478,40.6051,39.5753779337,40.7372745103,168.048636944,118.399845221,300.73661758,110.882323263
2020-10-30,67.47,0.2806,0.5619,85.36,54.08,18.51,1.7,0.4719,32.9559397583,12.83,586.42,1.74,1.71,45.3,136.9,543.56,52.19,80.71,2.62,271.754747764,2.73,1.55,,,0.01947,0.765,8.21,5.05,1.69,10.75,163.35,4.45,3.82,2.56,0.338,1.0728,0.2374,1.65,388.04,9.71,1.67,4.18,128.73,47.3283670979,142.43,9.45307624374,283.64,309.15,60.26,263.11,201.472247225,3036.15,75.29,1621.01,0.4556,191.62,63.51,9.23,239.89,1214.05,112.919525704,108.509649059,566.45,0.3546,58.95,1.51,25.58,133.34,39.21,9.72,475.74,30.58,925.43,228.47,202.25,460.91,26.5156886135,43.0692565196,40.21,39.0996408586,40.7372745103,166.315663387,117.930004566,300.616678751,110.60297244
2020-10-29,71.28,0.2923,0.6026,84.81,54.98,18.79,1.74,0.5196,32.7701678319,13.53,568.03,1.77,1.8,45.51,140.74,555.79,53.89,87.63,2.56,274.911086217,2.8,1.55,,,0.0194,0.83,8.73,5.11,1.75,10.9,164.01,5.118,3.99,2.63,0.3701,1.1382,0.2544,1.72,410.83,9.65,1.67,4.38,129.76,48.9679179212,151.85,9.51271710333,291.97,309.36,60.52,280.83,203.71115944,3211.01,78.02,1567.24,0.4305,210.72,68.38,9.81,266.87,1300.98,113.198069155,114.948858437,617.98,0.323,62.51,1.55,26.74,134.1,43.76,9.88,504.21,31.99,977.0,235.69,213.65,489.68,26.2638648361,43.2689748434,41.572,39.2978646399,42.510626152,168.098435035,120.589102744,308.94243243,113.107153035
2020-10-28,65.74,0.2897,0.5851,77.54,50.71,18.44,1.49,0.516,32.9280739694,12.94,559.46,1.84,1.78,46.14,141.03,567.04,52.47,81.33,2.38,279.915281043,2.79,1.52,,,0.0193,0.815,8.67,5.11,1.8,10.03,161.06,5.1,4.08,2.65,0.3601,1.086,0.2506,1.65,406.02,9.9,1.66,4.52,129.89,52.9127765686,156.05,9.33379452458,285.2,306.95,60.7,267.67,201.681212365,3162.78,76.4,1516.62,0.428,208.86,71.61,9.68,276.14,1273.59,110.929929621,110.84211809,596.49,0.315,49.25,1.45,26.58,131.9,44.22,9.61,486.24,27.51,1026.71,240.04,218.25,516.01,25.8160806279,42.1505522303,41.3822,39.1095520477,41.4047720384,166.524815368,119.518265914,302.495720398,111.251465423
2020-10-27,70.67,0.3,0.6225,83.95,52.58,18.83,1.65,0.5303,34.7672160416,13.43,589.54,1.92,1.75,47.4,142.93,582.52,53.26,89.59,2.54,285.738525721,2.9,1.57,,,0.02325,0.855,9.11,5.42,1.82,10.57,164.23,5.299,4.3,2.75,0.394,1.0878,0.266,1.78,424.68,10.21,1.69,4.65,139.1,53.2108767183,161.95,9.53259738985,289.28,315.67,63.57,283.29,212.199124417,3286.33,78.88,1604.26,0.4573,213.01,74.46,9.97,287.45,1282.47,111.526808446,116.224738933,613.36,0.3264,52.52,1.56,27.93,135.25,48.13,9.94,488.93,28.44,1082.89,244.01,222.185,538.99,26.8105066944,42.7297353692,42.2838,40.2889835463,42.450850254,172.231676565,123.568092433,315.419129169,116.180012093
2020-10-26,70.24,0.3074,0.6386,82.93,49.96,18.73,1.65,0.5476,35.2223572614,13.32,583.82,1.85,1.71,49.13,141.24,585.74,51.95,87.38,2.6,279.785431677,2.97,1.6,,,0.02,0.78,9.07,5.66,1.96,10.62,158.61,5.25,4.36,2.79,0.4316,1.3062,0.2795,1.82,420.28,10.4,1.72,4.8,142.62,53.0022066136,164.54,9.53259738985,295.1,326.69,64.74,277.11,209.044745874,3207.04,82.23,1590.45,0.4621,207.2,74.02,9.99,284.96,1281.44,114.899173807,114.679727395,608.32,0.3129,50.46,1.56,27.75,132.46,46.08,9.76,488.24,26.01,1038.05,240.1,220.17,517.79,27.0152414728,42.0706649008,42.2892,40.5962304073,41.813240675,172.928849835,123.538102604,313.260230256,115.601356816
